,del_M,AV,theta,epsilon_0,epsilon_1,epsilon_2,epsilon_3,epsilon_4,epsilon_5,epsilon_6,epsilon_7,epsilon_8,epsilon_9,epsilon_10,epsilon_11,epsilon_12,epsilon_13,epsilon_14,epsilon_15,epsilon_16,epsilon_17,epsilon_18,epsilon_19,epsilon_20,epsilon_21,epsilon_22,epsilon_23,object_id
0,-0.0836997870530065,0.12263214482686638,-1.053222042315261,-0.0873065784194786,0.12119712073897392,-0.08974941241889373,0.047436309419490404,0.018470827453196753,0.027160704444467054,0.026763557831870184,0.1326991225851857,0.002158436336471179,-0.018994741566256187,-0.20838004867212284,-0.036313486133451665,0.13137887082876326,-0.10283009368667943,-0.17836162415648868,-0.006048154205512092,-0.062758904911684,-0.07925214715694001,-0.0825361218841882,-0.06297862058498266,0.03251670668816381,-0.025187816792814868,-0.1124906919517974,-0.06778025889873218,1
1,-0.07570808064905542,0.019076223059836486,0.4731252862704257,-0.06104549764973309,-0.11445204455727166,0.012287214673662755,-0.2219471820801438,-0.0028808227478886905,-0.04441845809656905,0.05158210174106064,-0.08612950205442464,-0.04252914653027588,0.01135179005853079,0.06403079178637992,0.04766120258839603,0.009041147021019715,-0.10785925552125096,0.07814297105667259,-0.04179630389439677,0.14665664797539527,0.01613810992388736,-0.05677993348100786,-0.08217393701843852,-0.09344439261006184,0.11254873794711708,0.2587158955502116,-0.10342154160547755,2
2,-0.04124745798077298,0.03520460062170885,-0.34401331595902623,0.0645145935307503,-0.015408881488131033,-0.23274404937131862,0.0006841349220546557,-0.045254683290928806,-0.05291416006931189,-0.03659140079920093,-0.05311672415814363,-0.0927093070545728,0.08451897250810034,-0.014417126871230809,-0.05210471883878215,0.1503507210924151,-0.028324939542361403,0.02261524652144925,-0.017302063588427546,0.20230775131188955,0.04115527826279728,-0.18646576734961606,-0.1520447727045214,0.18717393430925608,-0.08078312128332135,0.1783719362320783,-0.008124372343555801,3
3,0.17707107011304113,0.2549787352481754,-0.15740501886509115,-0.04404229082079782,-0.0228865441487113,-0.13600289765173312,-0.06581227280780935,-0.018433424894062522,0.0666534818433669,0.04459747739351006,0.02027196874411805,-0.05352638268116288,-0.04148065737258303,-0.0077397626088523885,-0.07609074894041569,-0.11104211987302824,0.09734974537085607,0.09169503211180352,0.039806753933204216,0.030639912011242963,0.02771832086758457,-0.016646957407438986,0.07952424806016638,-0.027476963952877943,-0.21763872025831132,-0.11134496675704691,0.0327350260280836,4
4,0.020734337270719654,0.05787372278633111,-0.76192621866157,0.03475733047715511,0.07408932643508716,0.19717590049687794,0.23789384793110324,0.05978028064009536,-0.08886923627070932,-0.03946805407470852,-0.011611256056810605,-0.03967845093697384,0.05831419345566258,0.07831769381219399,0.0015453676158043708,-0.06008380474071594,-0.09411380319330616,-0.006074462394149248,0.003362401096535246,0.11235475304325365,0.034586750016607964,-0.08290029219097819,-0.03230411913213868,0.12031643040042268,0.08704721359211928,0.051633766989926305,0.0021516308245795876,5
5,0.13166293556470585,0.02544998803543791,-0.5883280161063679,-0.01922447024926844,0.22836925796178814,-0.303320933661448,-0.11701462853756263,0.0034605769593151732,-0.020925018979188543,0.04493889605975439,-0.09118263876244079,-0.03314999511778597,-0.0731903278976502,0.14991535141790086,-0.00514923684875541,-0.08686694967068626,0.1745956997887985,0.12732175368487272,0.07652338958756526,-0.06589643629039045,0.07117012509530374,0.11526804516621214,0.17161082429100227,0.16273815339153078,-0.05433748639891811,0.1157974109171758,0.34757113292427005,6
6,0.005759994831087459,0.4837491177345693,-0.5348137788335727,0.08965747992629262,-0.046039424986383186,0.16331921500619057,-0.01655497693919227,-0.04320154833310286,-0.04931809420071118,0.10877692549796156,0.07724683698032223,0.007370870313890064,-0.08344980356539677,-0.031712416655093036,-0.007876168105715934,-0.08794155913356455,-0.030485221193323874,-0.04891337320855615,-0.06846196637743754,-0.016706692132396308,-0.03799133758514844,-0.004698481128834204,0.06387285651052513,0.08098163089400037,0.11854179658523836,0.013879322795966572,-0.009831788659363452,7
7,0.06047453087170644,0.19388846140882546,-1.8120543683534802,0.00886288781054928,0.1001614627958537,-0.059449283388105276,-0.05804794182324458,-0.025899580935452707,0.02930655772527052,0.044271819791818844,0.05335936071389721,0.02062262817780312,0.04689762640583194,0.0598089196823172,0.054952792655239,-0.019991720120479905,-0.07720316831344906,-0.0564549593824487,-0.11583450586474267,0.11948523416979391,-0.0209239645478621,-0.03473025997340127,-0.0034823357950866233,-0.20131042180363348,0.03761010579281189,0.009039855403198755,0.05691854128789602,8
8,-0.052704283670150794,0.13422686411507725,1.3263096364536624,-0.028018259716619934,0.027446050163673224,-0.1409396043289472,0.08063954501492415,0.041108326769581274,-0.02991625531371622,-0.02596792204730612,-0.02422649349819743,0.029549479646532338,-0.06520845405071787,-0.2038823405111928,-0.09844671452324903,0.1737006110529009,-0.0011310562577744924,0.04715903318727069,0.15227519776626897,0.02555728964757234,-0.07538949175658971,0.044112844682401134,-0.01010015794992929,0.23017472809922573,-0.06777578211897595,-0.015224980745281091,-0.05329990112022339,9
9,0.16913185318007617,0.14925651769785242,-0.2159423841646169,0.1916140392743572,-0.004133560456692441,0.1348968985494989,-0.00505669331108317,-0.028939983636373148,0.04142001543779741,-0.05079685089392886,-0.1094864530406527,-0.08647798754064853,-0.022266338806453827,0.05022283995394794,0.01419887678619685,-0.017998456879982718,0.1331066647372023,0.2197309129889881,0.06147441675913571,0.03794590615977207,0.027928911059400322,0.10949009976254519,0.08967869917746206,-0.04312105240226026,0.13863740825605825,0.17913177795705246,-0.010794270898793371,10
