# 4862 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.14 (yyyy.mm.dd); 23.58 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 4862
MWEBV: 0
REDSHIFT_HELIO: 0.07175508875196167
REDSHIFT_CMB: 0.07175508875196167
REDSHIFT_CMB_ERR: 0.001
PEAKMJD: 0
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 48
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: -8.574040710015693 g_PS1 2902.6382 133.6714 18.843017721431654 0.05
OBS: -4.287020355007846 g_PS1 4580.4001 210.9352 18.347741472143266 0.05
OBS: 0.0 g_PS1 4823.636 222.1366 18.29156367384947 0.05
OBS: 4.287020355007846 g_PS1 4067.7258 187.3257 18.47662083682786 0.05
OBS: 8.574040710015693 g_PS1 2641.0766 121.6261 18.945547522337808 0.05
OBS: 12.861061065023538 g_PS1 1879.5511 86.5565 19.314864629743216 0.05
OBS: 17.148081420031385 g_PS1 1294.1611 59.5983 19.720029139592302 0.05
OBS: 21.435101775039232 g_PS1 927.4572 42.711 20.08176535183962 0.05
OBS: 25.722122130047076 g_PS1 602.1512 27.7301 20.550736193248834 0.05
OBS: 30.009142485054923 g_PS1 441.0191 20.3097 20.88885657250353 0.05
OBS: 34.29616284006277 g_PS1 369.217 17.0031 21.081795833010517 0.05
OBS: 38.58318319507062 g_PS1 343.3414 15.8115 21.16068471353048 0.05
OBS: -8.574040710015693 r_PS1 2061.5063 94.9359 19.21453832274663 0.05
OBS: -4.287020355007846 r_PS1 3017.8647 138.9778 18.8007505709624 0.05
OBS: 0.0 r_PS1 3809.4946 175.4337 18.547831590660667 0.05
OBS: 4.287020355007846 r_PS1 3355.5637 154.5294 18.685586265308096 0.05
OBS: 8.574040710015693 r_PS1 2942.2717 135.4966 18.828293050519203 0.05
OBS: 12.861061065023538 r_PS1 2348.9414 108.1727 19.0728195346448 0.05
OBS: 17.148081420031385 r_PS1 2171.2328 99.989 19.158234025083996 0.05
OBS: 21.435101775039232 r_PS1 1665.0286 76.6774 19.44644573513936 0.05
OBS: 25.722122130047076 r_PS1 1401.427 64.5381 19.63357382560727 0.05
OBS: 30.009142485054923 r_PS1 984.2668 45.3272 20.01721792093778 0.05
OBS: 34.29616284006277 r_PS1 786.7054 36.2291 20.260469618904153 0.05
OBS: 38.58318319507062 r_PS1 643.2142 29.6211 20.479110898276144 0.05
OBS: -8.574040710015693 i_PS1 1755.5881 80.8478 19.38894344246652 0.05
OBS: -4.287020355007846 i_PS1 2504.6194 115.342 19.00314566064722 0.05
OBS: 0.0 i_PS1 2251.1982 103.6715 19.118965666536152 0.05
OBS: 4.287020355007846 i_PS1 2028.7003 93.4251 19.231955262680838 0.05
OBS: 8.574040710015693 i_PS1 1737.353 80.0081 19.40027985168411 0.05
OBS: 12.861061065023538 i_PS1 1424.5009 65.6007 19.615843171815943 0.05
OBS: 17.148081420031385 i_PS1 1421.6501 65.4694 19.618018214438635 0.05
OBS: 21.435101775039232 i_PS1 1462.6617 67.3581 19.58714028432191 0.05
OBS: 25.722122130047076 i_PS1 1206.2839 55.5514 19.796376192246075 0.05
OBS: 30.009142485054923 i_PS1 1001.76 46.1328 19.99809075688105 0.05
OBS: 34.29616284006277 i_PS1 762.2475 35.1028 20.29476004091335 0.05
OBS: 38.58318319507062 i_PS1 646.9268 29.7921 20.472862145723266 0.05
OBS: -8.574040710015693 z_PS1 1597.9619 73.5889 19.49108392892502 0.05
OBS: -4.287020355007846 z_PS1 2220.46 102.256 19.13389261423087 0.05
OBS: 0.0 z_PS1 2038.8201 93.8911 19.226552729370145 0.05
OBS: 4.287020355007846 z_PS1 1811.7057 83.4321 19.354780845012172 0.05
OBS: 8.574040710015693 z_PS1 1267.9881 58.393 19.74221206460374 0.05
OBS: 12.861061065023538 z_PS1 1098.2215 50.575 19.89827512422539 0.05
OBS: 17.148081420031385 z_PS1 979.0791 45.0883 20.02295559937985 0.05
OBS: 21.435101775039232 z_PS1 1096.9999 50.5187 19.8994835322022 0.05
OBS: 25.722122130047076 z_PS1 957.0621 44.0743 20.0476496544872 0.05
OBS: 30.009142485054923 z_PS1 846.4983 38.9827 20.180934742032886 0.05
OBS: 34.29616284006277 z_PS1 666.6437 30.7001 20.440265552621312 0.05
OBS: 38.58318319507062 z_PS1 585.5287 26.9646 20.581129467145413 0.05
END:
