SNID	SEARCH_PEAKMJD	REDSHIFT_CMB	REDSHIFT_CMB_ERR
0	0.0	0.045628871864967536	0.001
1	0.0	0.0806548165147591	0.001
2	0.0	0.08585295033567943	0.001
3	0.0	0.02082045347543865	0.001
4	0.0	0.017580633819933533	0.001
5	0.0	0.02767197554817996	0.001
6	0.0	0.005373277659614151	0.001
7	0.0	0.08129496899920335	0.001
8	0.0	0.02127983118850151	0.001
9	0.0	0.015245024295502885	0.001
10	0.0	0.06593056116487486	0.001
11	0.0	0.053930088183210524	0.001
12	0.0	0.07709777325276813	0.001
13	0.0	0.06147080396439654	0.001
14	0.0	0.04551272077951524	0.001
15	0.0	0.057773757176783326	0.001
16	0.0	0.05703821377511951	0.001
17	0.0	0.05633108071288804	0.001
18	0.0	0.09659935820808963	0.001
19	0.0	0.048310734233225044	0.001
20	0.0	0.06237339220999464	0.001
21	0.0	0.04514348599848175	0.001
22	0.0	0.07561894722992474	0.001
23	0.0	0.00492225584081798	0.001
24	0.0	0.025815800879023035	0.001
25	0.0	0.022235327308495135	0.001
26	0.0	0.05934774213157027	0.001
27	0.0	0.04998781984855071	0.001
28	0.0	0.05030012669247385	0.001
29	0.0	0.0022729531926608203	0.001
30	0.0	0.02333612476367405	0.001
31	0.0	0.09590352150939516	0.001
32	0.0	0.020710838493273688	0.001
33	0.0	0.07805745111398964	0.001
34	0.0	0.025650897530321782	0.001
35	0.0	0.03008371888040824	0.001
36	0.0	0.07222551463923534	0.001
37	0.0	0.07011942831342607	0.001
38	0.0	0.0646905099407119	0.001
39	0.0	0.012456668759747526	0.001
40	0.0	0.04742431190985296	0.001
41	0.0	0.09646507451587154	0.001
42	0.0	0.012207669276586997	0.001
43	0.0	0.076918240616562	0.001
44	0.0	0.012226323033917031	0.001
45	0.0	0.0069736545033840976	0.001
46	0.0	0.0731450885289764	0.001
47	0.0	0.030993138713798107	0.001
48	0.0	0.05298287329308901	0.001
49	0.0	0.01896122161017253	0.001
50	0.0	0.013273926218822618	0.001
51	0.0	0.07990074046132471	0.001
52	0.0	0.08629937335505496	0.001
53	0.0	0.06306845545448349	0.001
54	0.0	0.05528638409619479	0.001
55	0.0	0.09997811091056931	0.001
56	0.0	0.01508266621562947	0.001
57	0.0	0.05360475936584305	0.001
58	0.0	0.07304444444742407	0.001
59	0.0	0.02278127091946466	0.001
60	0.0	0.05111033534607711	0.001
61	0.0	0.0815517082019161	0.001
62	0.0	0.022454061646969916	0.001
63	0.0	0.04993877136101982	0.001
64	0.0	0.04441201865120525	0.001
65	0.0	0.03003406781689081	0.001
66	0.0	0.04911451594581567	0.001
67	0.0	0.027282534658233982	0.001
68	0.0	0.09791164297299179	0.001
69	0.0	0.0760021015986036	0.001
70	0.0	0.005292177438523083	0.001
71	0.0	0.08377704138813746	0.001
72	0.0	0.014420141700043621	0.001
73	0.0	0.0059718901661946384	0.001
74	0.0	0.019825093310832875	0.001
75	0.0	0.048345327530790905	0.001
76	0.0	0.06714173697530934	0.001
77	0.0	0.014067577807118892	0.001
78	0.0	0.01873871501604245	0.001
79	0.0	0.02923041100310099	0.001
80	0.0	0.051616273902501425	0.001
81	0.0	0.029555709459602775	0.001
82	0.0	0.0939760550754039	0.001
83	0.0	0.04248467003630069	0.001
84	0.0	0.0750258648758677	0.001
85	0.0	0.04258169666878023	0.001
86	0.0	0.012682132308127937	0.001
87	0.0	0.0625316235265682	0.001
88	0.0	0.012890516593998414	0.001
89	0.0	0.0957263033364364	0.001
90	0.0	0.0435716472570638	0.001
91	0.0	0.0011768278372735975	0.001
92	0.0	0.06536564473098135	0.001
93	0.0	0.09484281207860396	0.001
94	0.0	0.09997997327243796	0.001
95	0.0	0.025153685720178245	0.001
96	0.0	0.031936113518294895	0.001
97	0.0	0.08227830616951314	0.001
98	0.0	0.04816558635993845	0.001
99	0.0	0.0683135110353134	0.001
100	0.0	0.09959492699286296	0.001
101	0.0	0.07012458072729642	0.001
102	0.0	0.0028062391479162676	0.001
103	0.0	0.05090223343893829	0.001
104	0.0	0.005615691061761841	0.001
105	0.0	0.06801259430104671	0.001
106	0.0	0.007854901869602594	0.001
107	0.0	0.03472284238980743	0.001
108	0.0	0.06898596215756068	0.001
109	0.0	0.020807082340845585	0.001
110	0.0	0.09502206638109191	0.001
111	0.0	0.08178762596494078	0.001
112	0.0	0.05529605027437271	0.001
113	0.0	0.03265139124917556	0.001
114	0.0	0.008317455647919858	0.001
115	0.0	0.06552988203284997	0.001
116	0.0	0.04463509867639758	0.001
117	0.0	0.09933671449291621	0.001
118	0.0	0.09878134003033713	0.001
119	0.0	0.014746826282513437	0.001
120	0.0	0.04959879116751349	0.001
121	0.0	0.05287899165427704	0.001
122	0.0	0.06013289043241844	0.001
123	0.0	0.03797157739290057	0.001
124	0.0	0.0861622104555486	0.001
125	0.0	0.013975709937971481	0.001
126	0.0	0.06397713095531835	0.001
127	0.0	0.013491144605946626	0.001
128	0.0	0.04960994029630222	0.001
