SNID	SEARCH_PEAKMJD	REDSHIFT_CMB	REDSHIFT_CMB_ERR
0	0.0	0.02254231672597168	0.001
1	0.0	0.07624449877785758	0.001
2	0.0	0.020472879570576075	0.001
3	0.0	0.06990750678650638	0.001
4	0.0	0.05042741293026814	0.001
5	0.0	0.057692598255951875	0.001
6	0.0	0.052915478617365765	0.001
7	0.0	0.016723292743262362	0.001
8	0.0	0.07005104562503156	0.001
9	0.0	0.06323013144971923	0.001
10	0.0	0.0374561500397092	0.001
11	0.0	0.07361370387811426	0.001
12	0.0	0.018323157541913243	0.001
13	0.0	0.016464760409877564	0.001
14	0.0	0.046524090931372226	0.001
15	0.0	0.058232508522027895	0.001
16	0.0	0.07153196358243111	0.001
17	0.0	0.0466685428994953	0.001
18	0.0	0.03513747087662222	0.001
19	0.0	0.050696762241900006	0.001
20	0.0	0.027999858828375714	0.001
21	0.0	0.06661324044169792	0.001
22	0.0	0.02874879840787465	0.001
23	0.0	0.05320286404866912	0.001
24	0.0	0.03308550990197655	0.001
25	0.0	0.07940690651528542	0.001
26	0.0	0.05783533471543427	0.001
27	0.0	0.04111189929015434	0.001
28	0.0	0.07811319945112472	0.001
29	0.0	0.07186220030234927	0.001
30	0.0	0.0769220134998448	0.001
31	0.0	0.0666293316635575	0.001
32	0.0	0.03900662783125135	0.001
33	0.0	0.01764626563342019	0.001
34	0.0	0.05150734275655769	0.001
35	0.0	0.031690857803208586	0.001
36	0.0	0.0383875909393436	0.001
37	0.0	0.05133173035496636	0.001
38	0.0	0.047008679248400305	0.001
39	0.0	0.021618414593784708	0.001
40	0.0	0.07609636031597419	0.001
41	0.0	0.04944680478131001	0.001
42	0.0	0.0401744361851492	0.001
43	0.0	0.01793514251848138	0.001
44	0.0	0.0676709133833941	0.001
45	0.0	0.0368255597526119	0.001
46	0.0	0.058380251642226676	0.001
47	0.0	0.05778883767907537	0.001
48	0.0	0.04300728508158319	0.001
49	0.0	0.03998847226684712	0.001
50	0.0	0.02548243403095063	0.001
51	0.0	0.026081580821401208	0.001
52	0.0	0.037802601293666485	0.001
53	0.0	0.07663069392499007	0.001
54	0.0	0.02488087161266765	0.001
55	0.0	0.04304931395803383	0.001
56	0.0	0.07119760744484294	0.001
57	0.0	0.04984430875488806	0.001
58	0.0	0.044064953717449375	0.001
59	0.0	0.04806181844347382	0.001
60	0.0	0.020226885163689187	0.001
61	0.0	0.04033728703836584	0.001
62	0.0	0.07103474378123223	0.001
63	0.0	0.0771847733922918	0.001
64	0.0	0.05933915315648802	0.001
65	0.0	0.026644138891246696	0.001
66	0.0	0.022213241748184193	0.001
67	0.0	0.0777188685838809	0.001
68	0.0	0.05068713352900461	0.001
69	0.0	0.0631056243672443	0.001
70	0.0	0.05224551892229166	0.001
71	0.0	0.07923548202799176	0.001
72	0.0	0.02210225390288027	0.001
73	0.0	0.06894029792944158	0.001
74	0.0	0.04746468770477326	0.001
75	0.0	0.07647354480207721	0.001
76	0.0	0.06916856658812197	0.001
77	0.0	0.017580417191443848	0.001
78	0.0	0.05076081139854082	0.001
79	0.0	0.06689743873627768	0.001
80	0.0	0.0515928863038043	0.001
81	0.0	0.07242578822886282	0.001
82	0.0	0.03617293932080254	0.001
83	0.0	0.06731183717471773	0.001
84	0.0	0.04244722333626612	0.001
85	0.0	0.03797988560018997	0.001
86	0.0	0.061223778562614864	0.001
87	0.0	0.05772041048587779	0.001
88	0.0	0.07139086341583434	0.001
89	0.0	0.04935562503626882	0.001
90	0.0	0.02658660828207624	0.001
91	0.0	0.07842172292763526	0.001
92	0.0	0.04142354616266307	0.001
93	0.0	0.02957602869782345	0.001
94	0.0	0.04493778330446575	0.001
95	0.0	0.02255457538818858	0.001
96	0.0	0.03494881742072768	0.001
97	0.0	0.04404661767328667	0.001
98	0.0	0.0402287870304076	0.001
99	0.0	0.06570433680096496	0.001
100	0.0	0.04175705787847789	0.001
101	0.0	0.05897297845801486	0.001
102	0.0	0.07210281909266522	0.001
103	0.0	0.02243142485775204	0.001
104	0.0	0.03398815400173062	0.001
105	0.0	0.0488142008344223	0.001
106	0.0	0.06062897454932649	0.001
107	0.0	0.0313860816747959	0.001
108	0.0	0.03412147508360332	0.001
109	0.0	0.03589254168935749	0.001
110	0.0	0.03909548599715115	0.001
111	0.0	0.055545253269518834	0.001
112	0.0	0.04272517818295886	0.001
113	0.0	0.07309826466507861	0.001
114	0.0	0.05748653169856722	0.001
115	0.0	0.0688743585442256	0.001
116	0.0	0.030765275328565243	0.001
117	0.0	0.028006343682974517	0.001
118	0.0	0.05746800912064663	0.001
119	0.0	0.017516107240827906	0.001
120	0.0	0.016958190596332946	0.001
121	0.0	0.05776246731595534	0.001
122	0.0	0.021722426149156863	0.001
123	0.0	0.051344254441105984	0.001
124	0.0	0.06674693717626193	0.001
125	0.0	0.051324831305035436	0.001
126	0.0	0.06440559709579728	0.001
127	0.0	0.06550108223011883	0.001
128	0.0	0.015272239424567341	0.001
129	0.0	0.04186743295150368	0.001
130	0.0	0.02448712700175177	0.001
