SNID	SEARCH_PEAKMJD	REDSHIFT_CMB	REDSHIFT_CMB_ERR	files
0	0.0	0.0850555462571146	0.001	T21_sim_1000/0.snana.dat
1	0.0	0.0647335352287042	0.001	T21_sim_1000/1.snana.dat
2	0.0	0.0504578213789436	0.001	T21_sim_1000/2.snana.dat
3	0.0	0.0926773269876507	0.001	T21_sim_1000/3.snana.dat
4	0.0	0.0203900175644788	0.001	T21_sim_1000/4.snana.dat
5	0.0	0.0319427715553362	0.001	T21_sim_1000/5.snana.dat
6	0.0	0.0245362599701055	0.001	T21_sim_1000/6.snana.dat
7	0.0	0.0337355618039672	0.001	T21_sim_1000/7.snana.dat
8	0.0	0.0622800841388646	0.001	T21_sim_1000/8.snana.dat
9	0.0	0.0028407209590723	0.001	T21_sim_1000/9.snana.dat
10	0.0	0.0975611282144438	0.001	T21_sim_1000/10.snana.dat
11	0.0	0.0042963162681356	0.001	T21_sim_1000/11.snana.dat
12	0.0	0.0505347346893235	0.001	T21_sim_1000/12.snana.dat
13	0.0	0.067844200588392	0.001	T21_sim_1000/13.snana.dat
14	0.0	0.0103115356574061	0.001	T21_sim_1000/14.snana.dat
15	0.0	0.0845586696240949	0.001	T21_sim_1000/15.snana.dat
16	0.0	0.0907094904704139	0.001	T21_sim_1000/16.snana.dat
17	0.0	0.0451704958520195	0.001	T21_sim_1000/17.snana.dat
18	0.0	0.0603875422489764	0.001	T21_sim_1000/18.snana.dat
19	0.0	0.0856155013614933	0.001	T21_sim_1000/19.snana.dat
20	0.0	0.0499684463259463	0.001	T21_sim_1000/20.snana.dat
21	0.0	0.0539266601906529	0.001	T21_sim_1000/21.snana.dat
22	0.0	0.0290819792486785	0.001	T21_sim_1000/22.snana.dat
23	0.0	0.0401212855485763	0.001	T21_sim_1000/23.snana.dat
24	0.0	0.0498012176651052	0.001	T21_sim_1000/24.snana.dat
25	0.0	0.006685502352757	0.001	T21_sim_1000/25.snana.dat
26	0.0	0.0005354571904008	0.001	T21_sim_1000/26.snana.dat
27	0.0	0.0165992040506608	0.001	T21_sim_1000/27.snana.dat
28	0.0	0.0625005824570492	0.001	T21_sim_1000/28.snana.dat
29	0.0	0.034564223498774	0.001	T21_sim_1000/29.snana.dat
30	0.0	0.0985590337909582	0.001	T21_sim_1000/30.snana.dat
31	0.0	0.0045184317423482	0.001	T21_sim_1000/31.snana.dat
32	0.0	0.0070540223739435	0.001	T21_sim_1000/32.snana.dat
33	0.0	0.0128560260234132	0.001	T21_sim_1000/33.snana.dat
34	0.0	0.073787007598847	0.001	T21_sim_1000/34.snana.dat
35	0.0	0.0723786823402214	0.001	T21_sim_1000/35.snana.dat
36	0.0	0.0523250959511261	0.001	T21_sim_1000/36.snana.dat
37	0.0	0.0504178430660565	0.001	T21_sim_1000/37.snana.dat
38	0.0	0.0273501173867543	0.001	T21_sim_1000/38.snana.dat
39	0.0	0.0172073994053011	0.001	T21_sim_1000/39.snana.dat
40	0.0	0.0478306351517795	0.001	T21_sim_1000/40.snana.dat
41	0.0	0.0436409390092575	0.001	T21_sim_1000/41.snana.dat
42	0.0	0.0636916095385961	0.001	T21_sim_1000/42.snana.dat
43	0.0	0.015856765759359	0.001	T21_sim_1000/43.snana.dat
44	0.0	0.0592096649201573	0.001	T21_sim_1000/44.snana.dat
45	0.0	0.0965353476481807	0.001	T21_sim_1000/45.snana.dat
46	0.0	0.0328542770357285	0.001	T21_sim_1000/46.snana.dat
47	0.0	0.0008258211960535	0.001	T21_sim_1000/47.snana.dat
48	0.0	0.0102256373337247	0.001	T21_sim_1000/48.snana.dat
49	0.0	0.044829948057364	0.001	T21_sim_1000/49.snana.dat
50	0.0	0.0044085225052221	0.001	T21_sim_1000/50.snana.dat
51	0.0	0.0162331754387993	0.001	T21_sim_1000/51.snana.dat
52	0.0	0.0129575752478712	0.001	T21_sim_1000/52.snana.dat
53	0.0	0.0980985759516729	0.001	T21_sim_1000/53.snana.dat
54	0.0	0.0265153919140869	0.001	T21_sim_1000/54.snana.dat
55	0.0	0.0299888246452332	0.001	T21_sim_1000/55.snana.dat
56	0.0	0.0793063436002107	0.001	T21_sim_1000/56.snana.dat
57	0.0	0.0693417860878058	0.001	T21_sim_1000/57.snana.dat
58	0.0	0.0579360819889331	0.001	T21_sim_1000/58.snana.dat
59	0.0	0.0379028620478633	0.001	T21_sim_1000/59.snana.dat
60	0.0	0.0898197293487211	0.001	T21_sim_1000/60.snana.dat
61	0.0	0.0222385073211499	0.001	T21_sim_1000/61.snana.dat
62	0.0	0.0706712819325754	0.001	T21_sim_1000/62.snana.dat
63	0.0	0.06457327591352	0.001	T21_sim_1000/63.snana.dat
64	0.0	0.0513279069214013	0.001	T21_sim_1000/64.snana.dat
65	0.0	0.0466491608650963	0.001	T21_sim_1000/65.snana.dat
66	0.0	0.0631770940826938	0.001	T21_sim_1000/66.snana.dat
67	0.0	0.0883773353373288	0.001	T21_sim_1000/67.snana.dat
68	0.0	0.0267171928815244	0.001	T21_sim_1000/68.snana.dat
69	0.0	0.0087937966252057	0.001	T21_sim_1000/69.snana.dat
70	0.0	0.0098687269005963	0.001	T21_sim_1000/70.snana.dat
71	0.0	0.0852194636611211	0.001	T21_sim_1000/71.snana.dat
72	0.0	0.0986438939620176	0.001	T21_sim_1000/72.snana.dat
73	0.0	0.0641169167526435	0.001	T21_sim_1000/73.snana.dat
74	0.0	0.0473903288315464	0.001	T21_sim_1000/74.snana.dat
75	0.0	0.0207509574957808	0.001	T21_sim_1000/75.snana.dat
76	0.0	0.0347956921851522	0.001	T21_sim_1000/76.snana.dat
77	0.0	0.0880245256092545	0.001	T21_sim_1000/77.snana.dat
78	0.0	0.0316312448094779	0.001	T21_sim_1000/78.snana.dat
79	0.0	0.0931415166284821	0.001	T21_sim_1000/79.snana.dat
80	0.0	0.0461631242764806	0.001	T21_sim_1000/80.snana.dat
81	0.0	0.0364245703647563	0.001	T21_sim_1000/81.snana.dat
82	0.0	5.021714985575799e-06	0.001	T21_sim_1000/82.snana.dat
83	0.0	0.0855988194032712	0.001	T21_sim_1000/83.snana.dat
84	0.0	0.0205698707846641	0.001	T21_sim_1000/84.snana.dat
85	0.0	0.0285095798612991	0.001	T21_sim_1000/85.snana.dat
86	0.0	0.0806562219829278	0.001	T21_sim_1000/86.snana.dat
87	0.0	0.0925956505018612	0.001	T21_sim_1000/87.snana.dat
88	0.0	0.0489430356124162	0.001	T21_sim_1000/88.snana.dat
89	0.0	0.0543576218976176	0.001	T21_sim_1000/89.snana.dat
90	0.0	0.0154354327724787	0.001	T21_sim_1000/90.snana.dat
91	0.0	0.0291385947538454	0.001	T21_sim_1000/91.snana.dat
92	0.0	0.0214768176129047	0.001	T21_sim_1000/92.snana.dat
93	0.0	0.010267737449519	0.001	T21_sim_1000/93.snana.dat
94	0.0	0.0158749860244809	0.001	T21_sim_1000/94.snana.dat
95	0.0	0.0426560554475646	0.001	T21_sim_1000/95.snana.dat
96	0.0	0.0271658326773536	0.001	T21_sim_1000/96.snana.dat
97	0.0	0.0139447595751775	0.001	T21_sim_1000/97.snana.dat
98	0.0	0.0822535316624666	0.001	T21_sim_1000/98.snana.dat
99	0.0	0.0420560857719751	0.001	T21_sim_1000/99.snana.dat
100	0.0	0.0241417507360387	0.001	T21_sim_1000/100.snana.dat
101	0.0	0.087157978159309	0.001	T21_sim_1000/101.snana.dat
102	0.0	0.0657960439727016	0.001	T21_sim_1000/102.snana.dat
103	0.0	0.004612207783317	0.001	T21_sim_1000/103.snana.dat
104	0.0	0.0604260305002798	0.001	T21_sim_1000/104.snana.dat
105	0.0	0.0354991357623248	0.001	T21_sim_1000/105.snana.dat
106	0.0	0.0871225660639278	0.001	T21_sim_1000/106.snana.dat
107	0.0	0.055746416375432	0.001	T21_sim_1000/107.snana.dat
108	0.0	0.0530082292091781	0.001	T21_sim_1000/108.snana.dat
109	0.0	0.0186172237558361	0.001	T21_sim_1000/109.snana.dat
110	0.0	0.0988707994388756	0.001	T21_sim_1000/110.snana.dat
111	0.0	0.0433253167401807	0.001	T21_sim_1000/111.snana.dat
112	0.0	0.0378288136888734	0.001	T21_sim_1000/112.snana.dat
113	0.0	0.0540263088740053	0.001	T21_sim_1000/113.snana.dat
114	0.0	0.064656812369896	0.001	T21_sim_1000/114.snana.dat
115	0.0	0.0098136070176822	0.001	T21_sim_1000/115.snana.dat
116	0.0	0.0578850870835325	0.001	T21_sim_1000/116.snana.dat
117	0.0	0.0557662475510736	0.001	T21_sim_1000/117.snana.dat
118	0.0	0.08144704181911	0.001	T21_sim_1000/118.snana.dat
119	0.0	0.007883509154336	0.001	T21_sim_1000/119.snana.dat
120	0.0	0.0634353477670074	0.001	T21_sim_1000/120.snana.dat
121	0.0	0.0519865288856535	0.001	T21_sim_1000/121.snana.dat
122	0.0	0.0132044153247991	0.001	T21_sim_1000/122.snana.dat
123	0.0	0.0379023609599723	0.001	T21_sim_1000/123.snana.dat
124	0.0	0.0931461247058396	0.001	T21_sim_1000/124.snana.dat
125	0.0	0.0435370444429963	0.001	T21_sim_1000/125.snana.dat
126	0.0	0.0726334445272904	0.001	T21_sim_1000/126.snana.dat
127	0.0	0.0150066059801151	0.001	T21_sim_1000/127.snana.dat
128	0.0	0.0138802039819795	0.001	T21_sim_1000/128.snana.dat
129	0.0	0.0521576712363013	0.001	T21_sim_1000/129.snana.dat
130	0.0	0.0265303365405144	0.001	T21_sim_1000/130.snana.dat
131	0.0	0.0878939483133301	0.001	T21_sim_1000/131.snana.dat
132	0.0	0.0697961079959255	0.001	T21_sim_1000/132.snana.dat
133	0.0	0.0845048619408514	0.001	T21_sim_1000/133.snana.dat
134	0.0	0.0830450965447266	0.001	T21_sim_1000/134.snana.dat
135	0.0	0.0099926717249902	0.001	T21_sim_1000/135.snana.dat
136	0.0	0.0727124113936522	0.001	T21_sim_1000/136.snana.dat
137	0.0	0.0197429375046321	0.001	T21_sim_1000/137.snana.dat
138	0.0	0.0637895157426144	0.001	T21_sim_1000/138.snana.dat
139	0.0	0.0900651876181168	0.001	T21_sim_1000/139.snana.dat
140	0.0	0.0522911778945171	0.001	T21_sim_1000/140.snana.dat
141	0.0	0.0202217851804836	0.001	T21_sim_1000/141.snana.dat
142	0.0	0.0181137922416702	0.001	T21_sim_1000/142.snana.dat
143	0.0	0.0952563873697512	0.001	T21_sim_1000/143.snana.dat
144	0.0	0.012739623435809	0.001	T21_sim_1000/144.snana.dat
145	0.0	0.0088050393415617	0.001	T21_sim_1000/145.snana.dat
146	0.0	0.0933208563138071	0.001	T21_sim_1000/146.snana.dat
147	0.0	0.0117977805432219	0.001	T21_sim_1000/147.snana.dat
148	0.0	0.0710061823164345	0.001	T21_sim_1000/148.snana.dat
149	0.0	0.0206182998168556	0.001	T21_sim_1000/149.snana.dat
150	0.0	0.0382040926760001	0.001	T21_sim_1000/150.snana.dat
151	0.0	0.0658145494609192	0.001	T21_sim_1000/151.snana.dat
152	0.0	0.0283338978465082	0.001	T21_sim_1000/152.snana.dat
153	0.0	0.0257793938804068	0.001	T21_sim_1000/153.snana.dat
154	0.0	0.0722642748893217	0.001	T21_sim_1000/154.snana.dat
155	0.0	0.0993775108515409	0.001	T21_sim_1000/155.snana.dat
156	0.0	0.0174431630762612	0.001	T21_sim_1000/156.snana.dat
157	0.0	0.0316442852700685	0.001	T21_sim_1000/157.snana.dat
158	0.0	0.0346605994396689	0.001	T21_sim_1000/158.snana.dat
159	0.0	0.0175579266562209	0.001	T21_sim_1000/159.snana.dat
160	0.0	0.082056390424742	0.001	T21_sim_1000/160.snana.dat
161	0.0	0.0911537756488104	0.001	T21_sim_1000/161.snana.dat
162	0.0	0.0808699323975465	0.001	T21_sim_1000/162.snana.dat
163	0.0	0.0277061430933088	0.001	T21_sim_1000/163.snana.dat
164	0.0	0.0460841886495346	0.001	T21_sim_1000/164.snana.dat
165	0.0	0.0856808805099071	0.001	T21_sim_1000/165.snana.dat
166	0.0	0.089532748786141	0.001	T21_sim_1000/166.snana.dat
167	0.0	0.0509214624325373	0.001	T21_sim_1000/167.snana.dat
168	0.0	0.0446619390121252	0.001	T21_sim_1000/168.snana.dat
169	0.0	0.0264493565105947	0.001	T21_sim_1000/169.snana.dat
170	0.0	0.0042644578230626	0.001	T21_sim_1000/170.snana.dat
171	0.0	0.0543418390294687	0.001	T21_sim_1000/171.snana.dat
172	0.0	0.0583769587474627	0.001	T21_sim_1000/172.snana.dat
173	0.0	0.0741533897571889	0.001	T21_sim_1000/173.snana.dat
174	0.0	0.014664246286271	0.001	T21_sim_1000/174.snana.dat
175	0.0	0.0476124959154145	0.001	T21_sim_1000/175.snana.dat
176	0.0	0.0447228685000289	0.001	T21_sim_1000/176.snana.dat
177	0.0	0.0519462075214614	0.001	T21_sim_1000/177.snana.dat
178	0.0	0.0799975253646611	0.001	T21_sim_1000/178.snana.dat
179	0.0	0.0045090036076634	0.001	T21_sim_1000/179.snana.dat
180	0.0	0.076503948200551	0.001	T21_sim_1000/180.snana.dat
181	0.0	0.0533212219593756	0.001	T21_sim_1000/181.snana.dat
182	0.0	0.0668619515940337	0.001	T21_sim_1000/182.snana.dat
183	0.0	0.0084543974471023	0.001	T21_sim_1000/183.snana.dat
184	0.0	0.0348135609665184	0.001	T21_sim_1000/184.snana.dat
185	0.0	0.0774236687657746	0.001	T21_sim_1000/185.snana.dat
186	0.0	0.0938555963778621	0.001	T21_sim_1000/186.snana.dat
187	0.0	0.0880550060832171	0.001	T21_sim_1000/187.snana.dat
188	0.0	0.0443119109758951	0.001	T21_sim_1000/188.snana.dat
189	0.0	0.0119970774759884	0.001	T21_sim_1000/189.snana.dat
190	0.0	0.0748959399180949	0.001	T21_sim_1000/190.snana.dat
191	0.0	0.0460740631449986	0.001	T21_sim_1000/191.snana.dat
192	0.0	0.097860940161374	0.001	T21_sim_1000/192.snana.dat
193	0.0	0.0375643977318749	0.001	T21_sim_1000/193.snana.dat
194	0.0	0.0287096163710739	0.001	T21_sim_1000/194.snana.dat
195	0.0	0.0959199464559621	0.001	T21_sim_1000/195.snana.dat
196	0.0	0.0514757471243774	0.001	T21_sim_1000/196.snana.dat
197	0.0	0.091570728391891	0.001	T21_sim_1000/197.snana.dat
198	0.0	0.0119473106286006	0.001	T21_sim_1000/198.snana.dat
199	0.0	0.041930414743208	0.001	T21_sim_1000/199.snana.dat
200	0.0	0.0572368147952024	0.001	T21_sim_1000/200.snana.dat
201	0.0	0.0767327580583359	0.001	T21_sim_1000/201.snana.dat
202	0.0	0.0609189082597524	0.001	T21_sim_1000/202.snana.dat
203	0.0	0.0361964717788216	0.001	T21_sim_1000/203.snana.dat
204	0.0	0.0848097623291733	0.001	T21_sim_1000/204.snana.dat
205	0.0	0.085253543039861	0.001	T21_sim_1000/205.snana.dat
206	0.0	0.0119381060470011	0.001	T21_sim_1000/206.snana.dat
207	0.0	0.0233687178768531	0.001	T21_sim_1000/207.snana.dat
208	0.0	0.0033740259874731	0.001	T21_sim_1000/208.snana.dat
209	0.0	0.0973212507148398	0.001	T21_sim_1000/209.snana.dat
210	0.0	0.0993728606724455	0.001	T21_sim_1000/210.snana.dat
211	0.0	0.0512266740683085	0.001	T21_sim_1000/211.snana.dat
