# 157 SNe Ia from Foundation DR1 (Foley+18; Jones+19) included in the
# Thorp+21 training set
#
#SN_name       #source           #Files
#----------------------------------------------------------------------------
2016W          Foundation_DR1    Foundation_DR1/Foundation_DR1_2016W.txt
2016afk        Foundation_DR1    Foundation_DR1/Foundation_DR1_2016afk.txt
ASASSN-15bc    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15bc.txt
ASASSN-15fa    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15fa.txt
ASASSN-15fs    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15fs.txt
ASASSN-15go    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15go.txt
ASASSN-15hg    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15hg.txt
ASASSN-15il    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15il.txt
ASASSN-15jl    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15jl.txt
ASASSN-15jt    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15jt.txt
ASASSN-15kx    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15kx.txt
ASASSN-15la    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15la.txt
ASASSN-15lg    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15lg.txt
ASASSN-15lu    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15lu.txt
ASASSN-15mf    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15mf.txt
ASASSN-15mg    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15mg.txt
ASASSN-15mi    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15mi.txt
ASASSN-15np    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15np.txt
ASASSN-15nq    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15nq.txt
ASASSN-15nr    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15nr.txt
ASASSN-15od    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15od.txt
ASASSN-15oh    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15oh.txt
ASASSN-15pm    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15pm.txt
ASASSN-15pn    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15pn.txt
ASASSN-15pr    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15pr.txt
ASASSN-15sf    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15sf.txt
ASASSN-15ss    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15ss.txt
ASASSN-15tg    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15tg.txt
ASASSN-15ti    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15ti.txt
ASASSN-15tz    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15tz.txt
ASASSN-15uu    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15uu.txt
ASASSN-15uv    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15uv.txt
ASASSN-15uw    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-15uw.txt
ASASSN-16ad    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16ad.txt
ASASSN-16aj    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16aj.txt
ASASSN-16av    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16av.txt
ASASSN-16ay    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16ay.txt
ASASSN-16bc    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16bc.txt
ASASSN-16bq    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16bq.txt
ASASSN-16br    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16br.txt
ASASSN-16ch    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16ch.txt
ASASSN-16cs    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16cs.txt
ASASSN-16ct    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16ct.txt
ASASSN-16db    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16db.txt
ASASSN-16dw    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16dw.txt
ASASSN-16em    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16em.txt
ASASSN-16fo    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16fo.txt
ASASSN-16fs    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16fs.txt
ASASSN-16hc    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16hc.txt
ASASSN-16hr    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16hr.txt
ASASSN-16hz    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16hz.txt
ASASSN-16ip    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16ip.txt
ASASSN-16lg    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16lg.txt
ASASSN-16oz    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-16oz.txt
ASASSN-17aj    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-17aj.txt
ASASSN-17at    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-17at.txt
ASASSN-17bs    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-17bs.txt
ASASSN-17co    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-17co.txt
ASASSN-17eb    Foundation_DR1    Foundation_DR1/Foundation_DR1_ASASSN-17eb.txt
AT2016aj       Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016ajl.txt
AT2016bln      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016bln.txt
AT2016cor      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016cor.txt
AT2016cvv      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016cvv.txt
AT2016cvw      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016cvw.txt
AT2016cyt      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016cyt.txt
AT2016eoa      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016eoa.txt
AT2016ews      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016ews.txt
AT2016fbk      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016fbk.txt
AT2016gmg      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016gmg.txt
AT2016gsu      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016gsu.txt
AT2016hns      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016hns.txt
AT2016htm      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016htm.txt
AT2016htn      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2016htn.txt
AT2017cfb      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2017cfb.txt
AT2017cfc      Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2017cfc.txt
AT2017lm       Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2017lm.txt
AT2017ns       Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2017ns.txt
AT2017oz       Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2017oz.txt
AT2017po       Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2017po.txt
AT2017wb       Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2017wb.txt
AT2017yk       Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2017yk.txt
AT2017zd       Foundation_DR1    Foundation_DR1/Foundation_DR1_AT2017zd.txt
ATLAS16bwu     Foundation_DR1    Foundation_DR1/Foundation_DR1_ATLAS16bwu.txt
ATLAS16cpu     Foundation_DR1    Foundation_DR1/Foundation_DR1_ATLAS16cpu.txt
ATLAS16cxr     Foundation_DR1    Foundation_DR1/Foundation_DR1_ATLAS16cxr.txt
ATLAS16dpb     Foundation_DR1    Foundation_DR1/Foundation_DR1_ATLAS16dpb.txt
ATLAS16dqf     Foundation_DR1    Foundation_DR1/Foundation_DR1_ATLAS16dqf.txt
ATLAS17ajn     Foundation_DR1    Foundation_DR1/Foundation_DR1_ATLAS17ajn.txt
ATLAS17ajs     Foundation_DR1    Foundation_DR1/Foundation_DR1_ATLAS17ajs.txt
ATLAS17axb     Foundation_DR1    Foundation_DR1/Foundation_DR1_ATLAS17axb.txt
ATLAS17bas     Foundation_DR1    Foundation_DR1/Foundation_DR1_ATLAS17bas.txt
Gaia16acv      Foundation_DR1    Foundation_DR1/Foundation_DR1_Gaia16acv.txt
Gaia16aki      Foundation_DR1    Foundation_DR1/Foundation_DR1_Gaia16aki.txt
Gaia16bba      Foundation_DR1    Foundation_DR1/Foundation_DR1_Gaia16bba.txt
MASTERJ0134    Foundation_DR1    Foundation_DR1/Foundation_DR1_MASTERJ0134.txt
PS15ahs        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15ahs.txt
PS15aii        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15aii.txt
PS15atx        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15atx.txt
PS15bbn        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15bbn.txt
PS15bdr        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15bdr.txt
PS15bif        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15bif.txt
PS15bjg        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15bjg.txt
PS15brr        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15brr.txt
PS15bsq        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15bsq.txt
PS15bzz        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15bzz.txt
PS15cku        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15cku.txt
PS15cms        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15cms.txt
PS15coh        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15coh.txt
PS15cwx        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15cwx.txt
PS15cze        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15cze.txt
PS15mt         Foundation_DR1    Foundation_DR1/Foundation_DR1_PS15mt.txt
PS16aer        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16aer.txt
PS16axi        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16axi.txt
PS16ayd        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16ayd.txt
PS16bby        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16bby.txt
PS16bnz        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16bnz.txt
PS16ccn        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16ccn.txt
PS16cqa        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16cqa.txt
PS16cvc        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16cvc.txt
PS16dnp        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16dnp.txt
PS16el         Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16el.txt
PS16em         Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16em.txt
PS16evk        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16evk.txt
PS16fa         Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16fa.txt
PS16fbb        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16fbb.txt
PS16n          Foundation_DR1    Foundation_DR1/Foundation_DR1_PS16n.txt
PS17akj        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS17akj.txt
PS17bii        Foundation_DR1    Foundation_DR1/Foundation_DR1_PS17bii.txt
PS17tn         Foundation_DR1    Foundation_DR1/Foundation_DR1_PS17tn.txt
PSNJ0107203    Foundation_DR1    Foundation_DR1/Foundation_DR1_PSNJ0107203.txt
PSNJ0153424    Foundation_DR1    Foundation_DR1/Foundation_DR1_PSNJ0153424.txt
PSNJ0252467    Foundation_DR1    Foundation_DR1/Foundation_DR1_PSNJ0252467.txt
PSNJ0859349    Foundation_DR1    Foundation_DR1/Foundation_DR1_PSNJ0859349.txt
PSNJ1204051    Foundation_DR1    Foundation_DR1/Foundation_DR1_PSNJ1204051.txt
